"","year","state","measurement.s.","chemical","chemical.type","value"
"94",2019,"CALIFORNIA","MEASURED IN LB","ABAMECTIN ","INSECTICIDE",500
"95",2019,"CALIFORNIA","MEASURED IN LB","ACEQUINOCYL ","INSECTICIDE",5400
"96",2019,"CALIFORNIA","MEASURED IN LB","ACETAMIPRID ","INSECTICIDE",2800
"97",2019,"CALIFORNIA","MEASURED IN LB","AZADIRACHTIN ","INSECTICIDE",800
"98",2019,"CALIFORNIA","MEASURED IN LB","BIFENAZATE ","INSECTICIDE",17900
"99",2019,"CALIFORNIA","MEASURED IN LB","BIFENTHRIN ","INSECTICIDE",7300
"100",2019,"CALIFORNIA","MEASURED IN LB","CHLORANTRANILIPROLE ","INSECTICIDE",1900
"101",2019,"CALIFORNIA","MEASURED IN LB","CYANTRANILIPROLE ","INSECTICIDE",900
"102",2019,"CALIFORNIA","MEASURED IN LB","CYFLUMETOFEN ","INSECTICIDE",5200
"103",2019,"CALIFORNIA","MEASURED IN LB","ETOXAZOLE ","INSECTICIDE",1200
"104",2019,"CALIFORNIA","MEASURED IN LB","FENPROPATHRIN ","INSECTICIDE",6000
"105",2019,"CALIFORNIA","MEASURED IN LB","FENPYROXIMATE ","INSECTICIDE",400
"106",2019,"CALIFORNIA","MEASURED IN LB","FLONICAMID ","INSECTICIDE",3300
"107",2019,"CALIFORNIA","MEASURED IN LB","FLUPYRADIFURONE ","INSECTICIDE",4800
"108",2019,"CALIFORNIA","MEASURED IN LB","HEXYTHIAZOX ","INSECTICIDE",2300
"109",2019,"CALIFORNIA","MEASURED IN LB","IMIDACLOPRID ","INSECTICIDE",3500
"110",2019,"CALIFORNIA","MEASURED IN LB","MALATHION ","INSECTICIDE",56700
"111",2019,"CALIFORNIA","MEASURED IN LB","METHOXYFENOZIDE ","INSECTICIDE",3300
"112",2019,"CALIFORNIA","MEASURED IN LB","NALED ","INSECTICIDE",12700
"113",2019,"CALIFORNIA","MEASURED IN LB","NEEM OIL ","INSECTICIDE",1100
"114",2019,"CALIFORNIA","MEASURED IN LB","NEEM OIL, CLAR. HYD. ","INSECTICIDE",51600
"115",2019,"CALIFORNIA","MEASURED IN LB","NOVALURON ","INSECTICIDE",4600
"116",2019,"CALIFORNIA","MEASURED IN LB","PIPERONYL BUTOXIDE ","INSECTICIDE",1200
"117",2019,"CALIFORNIA","MEASURED IN LB","PYRETHRINS ","INSECTICIDE",200
"118",2019,"CALIFORNIA","MEASURED IN LB","PYRIPROXYFEN ","INSECTICIDE",100
"119",2019,"CALIFORNIA","MEASURED IN LB","SPINETORAM ","INSECTICIDE",2300
"120",2019,"CALIFORNIA","MEASURED IN LB","SPINOSAD ","INSECTICIDE",600
"121",2019,"CALIFORNIA","MEASURED IN LB","SPIROMESIFEN ","INSECTICIDE",1800
"122",2019,"CALIFORNIA","MEASURED IN LB","SULFOXAFLOR ","INSECTICIDE",1000
"123",2019,"CALIFORNIA","MEASURED IN LB","THIAMETHOXAM ","INSECTICIDE",1400
"124",2019,"CALIFORNIA","MEASURED IN LB","TOTAL","INSECTICIDE",212600
"125",2019,"CALIFORNIA","MEASURED IN LB","CHLOROPICRIN ","OTHER",6146600
"126",2019,"CALIFORNIA","MEASURED IN LB","DICHLOROPROPENE ","OTHER",1045700
"127",2019,"CALIFORNIA","MEASURED IN LB","FLUTRIAFOL ","OTHER",1700
"128",2019,"CALIFORNIA","MEASURED IN LB","IRON PHOSPHATE ","OTHER",100
"129",2019,"CALIFORNIA","MEASURED IN LB","METAM-POTASSIUM ","OTHER",254000
"130",2019,"CALIFORNIA","MEASURED IN LB","METAM-SODIUM ","OTHER",244000
"131",2019,"CALIFORNIA","MEASURED IN LB","REYNOUTRIA SACHALINE ","OTHER",600
"132",2019,"CALIFORNIA","MEASURED IN LB","TOTAL","OTHER",7698900
"133",2019,"CALIFORNIA","MEASURED IN LB","NITROGEN","FERTILIZER",668000
"134",2019,"CALIFORNIA","MEASURED IN LB","PHOSPHATE","FERTILIZER",493000
"135",2019,"CALIFORNIA","MEASURED IN LB","POTASH","FERTILIZER",430000
"136",2019,"CALIFORNIA","MEASURED IN LB","SULFUR","FERTILIZER",57000
"137",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","AZOXYSTROBIN ","FUNGICIDE",0.205
"138",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BLAD ","FUNGICIDE",0.482
"139",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BORAX DECAHYDRATE ","FUNGICIDE",0.023
"140",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BOSCALID ","FUNGICIDE",0.337
"141",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CAPTAN ","FUNGICIDE",1.739
"142",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CYFLUFENAMID ","FUNGICIDE",0.023
"143",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CYPRODINIL ","FUNGICIDE",0.32
"144",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","DIFENOCONAZOLE ","FUNGICIDE",0.114
"145",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FENHEXAMID ","FUNGICIDE",0.623
"146",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUDIOXONIL ","FUNGICIDE",0.213
"147",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUOPYRAM ","FUNGICIDE",0.113
"148",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUXAPYROXAD ","FUNGICIDE",0.168
"149",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FOSETYL-AL ","FUNGICIDE",3.997
"150",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MEFENOXAM ","FUNGICIDE",0.493
"151",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MYCLOBUTANIL ","FUNGICIDE",0.106
"152",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PENTHIOPYRAD ","FUNGICIDE",0.303
"153",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","POLYOXIN D ZINC SALT ","FUNGICIDE",0.073
"154",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","POTASSIUM BICARBON. ","FUNGICIDE",2.381
"155",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PROPICONAZOLE ","FUNGICIDE",0.112
"156",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRACLOSTROBIN ","FUNGICIDE",0.169
"157",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIMETHANIL ","FUNGICIDE",0.51
"158",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","QUINOLINE ","FUNGICIDE",0.097
"159",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","SULFUR ","FUNGICIDE",3.656
"160",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","TETRACONAZOLE ","FUNGICIDE",0.039
"161",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","THIOPHANATE-METHYL ","FUNGICIDE",0.669
"162",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","THIRAM ","FUNGICIDE",2.219
"163",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","TRIFLOXYSTROBIN ","FUNGICIDE",0.113
"164",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","TRIFLUMIZOLE ","FUNGICIDE",0.23
"165",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CARFENTRAZONE-ETHYL ","HERBICIDE",0.024
"166",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUMIOXAZIN ","HERBICIDE",0.089
"167",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","OXYFLUORFEN ","HERBICIDE",0.313
"168",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PENDIMETHALIN ","HERBICIDE",1.202
"169",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","ABAMECTIN ","INSECTICIDE",0.019
"170",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","ACEQUINOCYL ","INSECTICIDE",0.297
"171",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","ACETAMIPRID ","INSECTICIDE",0.126
"172",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","AZADIRACHTIN ","INSECTICIDE",0.034
"173",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENAZATE ","INSECTICIDE",0.496
"174",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN ","INSECTICIDE",0.109
"175",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CHLORANTRANILIPROLE ","INSECTICIDE",0.067
"176",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CYANTRANILIPROLE ","INSECTICIDE",0.111
"177",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CYFLUMETOFEN ","INSECTICIDE",0.178
"178",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","ETOXAZOLE ","INSECTICIDE",0.135
"179",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FENPROPATHRIN ","INSECTICIDE",0.286
"180",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FENPYROXIMATE ","INSECTICIDE",0.103
"181",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLONICAMID ","INSECTICIDE",0.085
"182",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUPYRADIFURONE ","INSECTICIDE",0.158
"183",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","HEXYTHIAZOX ","INSECTICIDE",0.177
"184",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","IMIDACLOPRID ","INSECTICIDE",0.515
"185",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MALATHION ","INSECTICIDE",1.991
"186",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","METHOXYFENOZIDE ","INSECTICIDE",0.174
"187",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","NALED ","INSECTICIDE",0.904
"188",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","NEEM OIL ","INSECTICIDE",0.095
"189",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","NEEM OIL, CLAR. HYD. ","INSECTICIDE",5.151
"190",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","NOVALURON ","INSECTICIDE",0.059
"191",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PIPERONYL BUTOXIDE ","INSECTICIDE",0.478
"192",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRETHRINS ","INSECTICIDE",0.044
"193",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIPROXYFEN ","INSECTICIDE",0.067
"194",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","SPINETORAM ","INSECTICIDE",0.068
"195",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","SPINOSAD ","INSECTICIDE",0.093
"196",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","SPIROMESIFEN ","INSECTICIDE",0.243
"197",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","SULFOXAFLOR ","INSECTICIDE",0.069
"198",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","THIAMETHOXAM ","INSECTICIDE",0.062
"199",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","CHLOROPICRIN ","OTHER",244.066
"200",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","DICHLOROPROPENE ","OTHER",83.557
"201",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","FLUTRIAFOL ","OTHER",0.112
"202",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","IRON PHOSPHATE ","OTHER",0.161
"203",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","METAM-POTASSIUM ","OTHER",214.011
"204",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","METAM-SODIUM ","OTHER",228.063
"205",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","REYNOUTRIA SACHALINE ","OTHER",0.191
"206",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","AZOXYSTROBIN ","FUNGICIDE",0.447
"207",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BLAD ","FUNGICIDE",0.54
"208",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BORAX DECAHYDRATE ","FUNGICIDE",0.051
"209",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BOSCALID ","FUNGICIDE",0.508
"210",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CAPTAN ","FUNGICIDE",10.456
"211",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CYFLUFENAMID ","FUNGICIDE",0.034
"212",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CYPRODINIL ","FUNGICIDE",0.765
"213",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","DIFENOCONAZOLE ","FUNGICIDE",0.25
"214",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FENHEXAMID ","FUNGICIDE",1.163
"215",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUDIOXONIL ","FUNGICIDE",0.51
"216",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUOPYRAM ","FUNGICIDE",0.224
"217",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUXAPYROXAD ","FUNGICIDE",0.361
"218",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FOSETYL-AL ","FUNGICIDE",18.136
"219",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MEFENOXAM ","FUNGICIDE",1.215
"220",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MYCLOBUTANIL ","FUNGICIDE",0.281
"221",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PENTHIOPYRAD ","FUNGICIDE",0.625
"222",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","POLYOXIN D ZINC SALT ","FUNGICIDE",0.149
"223",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","POTASSIUM BICARBON. ","FUNGICIDE",2.908
"224",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PROPICONAZOLE ","FUNGICIDE",0.174
"225",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRACLOSTROBIN ","FUNGICIDE",0.317
"226",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRIMETHANIL ","FUNGICIDE",0.883
"227",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","QUINOLINE ","FUNGICIDE",0.264
"228",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SULFUR ","FUNGICIDE",26.646
"229",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","TETRACONAZOLE ","FUNGICIDE",0.058
"230",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","THIOPHANATE-METHYL ","FUNGICIDE",1.041
"231",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","THIRAM ","FUNGICIDE",5.064
"232",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","TRIFLOXYSTROBIN ","FUNGICIDE",0.235
"233",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","TRIFLUMIZOLE ","FUNGICIDE",0.55
"234",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CARFENTRAZONE-ETHYL ","HERBICIDE",0.074
"235",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUMIOXAZIN ","HERBICIDE",0.217
"236",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","OXYFLUORFEN ","HERBICIDE",0.428
"237",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PENDIMETHALIN ","HERBICIDE",1.84
"238",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","ABAMECTIN ","INSECTICIDE",0.04
"239",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","ACEQUINOCYL ","INSECTICIDE",0.47
"240",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","ACETAMIPRID ","INSECTICIDE",0.182
"241",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","AZADIRACHTIN ","INSECTICIDE",0.091
"242",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENAZATE ","INSECTICIDE",0.978
"243",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN ","INSECTICIDE",0.346
"244",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CHLORANTRANILIPROLE ","INSECTICIDE",0.119
"245",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CYANTRANILIPROLE ","INSECTICIDE",0.222
"246",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CYFLUMETOFEN ","INSECTICIDE",0.299
"247",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","ETOXAZOLE ","INSECTICIDE",0.581
"248",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FENPROPATHRIN ","INSECTICIDE",0.531
"249",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FENPYROXIMATE ","INSECTICIDE",0.128
"250",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLONICAMID ","INSECTICIDE",0.161
